Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
MGI:1917378	MGI	MGI:1917378	Oxsr1	oxidative-stress responsive 1	protein coding gene
MGI:1346865	MGI	MGI:1346865	Mapk14	mitogen-activated protein kinase 14	protein coding gene
MGI:1338024	MGI	MGI:1338024	Mapk11	mitogen-activated protein kinase 11	protein coding gene
MGI:1346864	MGI	MGI:1346864	Mapk13	mitogen-activated protein kinase 13	protein coding gene
MGI:1353438	MGI	MGI:1353438	Mapk12	mitogen-activated protein kinase 12	protein coding gene
MGI:1919758	MGI	MGI:1270849	Rps6kb1	ribosomal protein S6 kinase, polypeptide 1	protein coding gene
MGI:1927343	MGI	MGI:1927343	Rps6kb2	ribosomal protein S6 kinase, polypeptide 2	protein coding gene
MGI:1339975	MGI	MGI:1339975	Pak1	p21 protein (Cdc42/Rac)-activated kinase 1	protein coding gene
MGI:1339984	MGI	MGI:1339984	Pak2	p21 protein (Cdc42/Rac)-activated kinase 2	protein coding gene
MGI:1339656	MGI	MGI:1339656	Pak3	p21 protein (Cdc42/Rac)-activated kinase 3	protein coding gene
MGI:1917834	MGI	MGI:1917834	Pak4	p21 protein (Cdc42/Rac)-activated kinase 4	protein coding gene
MGI:1920334	MGI	MGI:1920334	Pak7	p21 protein (Cdc42/Rac)-activated kinase 7	protein coding gene
MGI:2155936	MGI	MGI:2155936	Pask	PAS domain containing serine/threonine kinase	protein coding gene
MGI:1289156	MGI	MGI:1289156	Pbk	PDZ binding kinase	protein coding gene
MGI:97516	MGI	MGI:97516	Cdk16	cyclin-dependent kinase 16	protein coding gene
MGI:97517	MGI	MGI:97517	Cdk17	cyclin-dependent kinase 17	protein coding gene
MGI:97518	MGI	MGI:97518	Cdk18	cyclin-dependent kinase 18	protein coding gene
MGI:97530	MGI	MGI:97530	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	protein coding gene
MGI:97531	MGI	MGI:97531	Pdgfrb	platelet derived growth factor receptor, beta polypeptide	protein coding gene
MGI:1926119	MGI	MGI:1926119	Pdk1	pyruvate dehydrogenase kinase, isoenzyme 1	protein coding gene
MGI:1343087	MGI	MGI:1343087	Pdk2	pyruvate dehydrogenase kinase, isoenzyme 2	protein coding gene
MGI:2384308	MGI	MGI:2384308	Pdk3	pyruvate dehydrogenase kinase, isoenzyme 3	protein coding gene
MGI:1351481	MGI	MGI:1351481	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4	protein coding gene
MGI:1338068	MGI	MGI:1338068	Pdpk1	3-phosphoinositide dependent protein kinase 1	protein coding gene
MGI:1341830	MGI	MGI:1341830	Eif2ak3	eukaryotic translation initiation factor 2 alpha kinase 3	protein coding gene
MGI:894318	MGI	MGI:894318	Cdk14	cyclin-dependent kinase 14	protein coding gene
MGI:97579	MGI	MGI:97579	Phkg1	phosphorylase kinase gamma 1	protein coding gene
MGI:1916211	MGI	MGI:1916211	Phkg2	phosphorylase kinase, gamma 2 (testis)	protein coding gene
MGI:1922919	MGI	MGI:1922919	Pik3r4	phosphoinositide-3-kinase regulatory subunit 4	protein coding gene
MGI:97584	MGI	MGI:97584	Pim1	proviral integration site 1	protein coding gene
MGI:97587	MGI	MGI:97587	Pim2	proviral integration site 2	protein coding gene
MGI:1916193	MGI	MGI:1916193	Pink1	PTEN induced putative kinase 1	protein coding gene
MGI:88353	MGI	MGI:88353	Cdk11b	cyclin-dependent kinase 11B	protein coding gene
MGI:97592	MGI	MGI:97592	Prkaca	protein kinase, cAMP dependent, catalytic, alpha	protein coding gene
MGI:97594	MGI	MGI:97594	Prkacb	protein kinase, cAMP dependent, catalytic, beta	protein coding gene
MGI:97595	MGI	MGI:97595	Prkca	protein kinase C, alpha	protein coding gene
MGI:97596	MGI	MGI:97596	Prkcb	protein kinase C, beta	protein coding gene
MGI:97598	MGI	MGI:97598	Prkcd	protein kinase C, delta	protein coding gene
MGI:97599	MGI	MGI:97599	Prkce	protein kinase C, epsilon	protein coding gene
MGI:97600	MGI	MGI:97600	Prkch	protein kinase C, eta	protein coding gene
MGI:97597	MGI	MGI:97597	Prkcg	protein kinase C, gamma	protein coding gene
MGI:104625	MGI	MGI:99260	Prkci	protein kinase C, iota	protein coding gene
MGI:97601	MGI	MGI:97601	Prkcq	protein kinase C, theta	protein coding gene
MGI:97602	MGI	MGI:97602	Prkcz	protein kinase C, zeta	protein coding gene
MGI:99879	MGI	MGI:99879	Prkd1	protein kinase D1	protein coding gene
MGI:2141917	MGI	MGI:2141917	Prkd2	protein kinase D2	protein coding gene
MGI:1922542	MGI	MGI:1922542	Prkd3	protein kinase D3	protein coding gene
MGI:108174	MGI	MGI:108174	Prkg1	protein kinase, cGMP-dependent, type I	protein coding gene
MGI:108173	MGI	MGI:108173	Prkg2	protein kinase, cGMP-dependent, type II	protein coding gene
MGI:2444757	MGI	MGI:108022	Pkn1	protein kinase N1	protein coding gene
MGI:1925929	MGI	MGI:109211	Pkn2	protein kinase N2	protein coding gene
MGI:2388285	MGI	MGI:2388285	Pkn3	protein kinase N3	protein coding gene
MGI:1353449	MGI	MGI:1353449	Eif2ak2	eukaryotic translation initiation factor 2-alpha kinase 2	protein coding gene
MGI:97621	MGI	MGI:97621	Plk1	polo like kinase 1	protein coding gene
MGI:1099790	MGI	MGI:1099790	Plk2	polo like kinase 2	protein coding gene
MGI:109604	MGI	MGI:109604	Plk3	polo like kinase 3	protein coding gene
MGI:101783	MGI	MGI:101783	Plk4	polo like kinase 4	protein coding gene
MGI:1309999	MGI	MGI:1309999	Prkx	protein kinase, X-linked	protein coding gene
MGI:109584	MGI	MGI:109584	Prpf4b	pre-mRNA processing factor 4B	protein coding gene
MGI:1914050	MGI	MGI:1914050	Trp53rkb	transformation related protein 53 regulating kinase B	protein coding gene
MGI:2142796	MGI	MGI:3528383	Pskh1	protein serine kinase H1	protein coding gene
MGI:104908	MGI	MGI:104908	Ptk2b	PTK2 protein tyrosine kinase 2 beta	protein coding gene
MGI:2445031	MGI	MGI:2445031	Sik2	salt inducible kinase 2	protein coding gene
MGI:1917911	MGI	MGI:2446296	Sik3	SIK family kinase 3	protein coding gene
MGI:97847	MGI	MGI:97847	Raf1	v-raf-leukemia viral oncogene 1	protein coding gene
MGI:97902	MGI	MGI:97902	Ret	ret proto-oncogene	protein coding gene
MGI:1345146	MGI	MGI:1345146	Grk1	G protein-coupled receptor kinase 1	protein coding gene
MGI:1918590	MGI	MGI:1918590	Riok1	RIO kinase 1	protein coding gene
MGI:1914295	MGI	MGI:1914295	Riok2	RIO kinase 2	protein coding gene
MGI:1914128	MGI	MGI:1914128	Riok3	RIO kinase 3	protein coding gene
MGI:108212	MGI	MGI:108212	Ripk1	receptor (TNFRSF)-interacting serine-threonine kinase 1	protein coding gene
MGI:1891456	MGI	MGI:1891456	Ripk2	receptor (TNFRSF)-interacting serine-threonine kinase 2	protein coding gene
MGI:2154952	MGI	MGI:2154952	Ripk3	receptor-interacting serine-threonine kinase 3	protein coding gene
MGI:1098272	MGI	MGI:1098272	Rnasel	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)	protein coding gene
MGI:107927	MGI	MGI:107927	Rock1	Rho-associated coiled-coil containing protein kinase 1	protein coding gene
MGI:107926	MGI	MGI:107926	Rock2	Rho-associated coiled-coil containing protein kinase 2	protein coding gene
MGI:99614	MGI	MGI:99614	Mst1r	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	protein coding gene
MGI:1347520	MGI	MGI:1347520	Ror1	receptor tyrosine kinase-like orphan receptor 1	protein coding gene
MGI:1347521	MGI	MGI:1347521	Ror2	receptor tyrosine kinase-like orphan receptor 2	protein coding gene
MGI:97999	MGI	MGI:97999	Ros1	Ros1 proto-oncogene	protein coding gene
MGI:1342290	MGI	MGI:1342290	Rps6ka2	ribosomal protein S6 kinase, polypeptide 2	protein coding gene
MGI:104557	MGI	MGI:104557	Rps6ka3	ribosomal protein S6 kinase polypeptide 3	protein coding gene
MGI:104558	MGI	MGI:104558	Rps6ka1	ribosomal protein S6 kinase polypeptide 1	protein coding gene
MGI:1914321	MGI	MGI:1914321	Rps6ka6	ribosomal protein S6 kinase polypeptide 6	protein coding gene
MGI:2138695	MGI	MGI:2443419	Rps6kc1	ribosomal protein S6 kinase polypeptide 1	protein coding gene
MGI:2443413	MGI	MGI:2443413	Rps6kl1	ribosomal protein S6 kinase-like 1	protein coding gene
MGI:101766	MGI	MGI:101766	Ryk	receptor-like tyrosine kinase	protein coding gene
MGI:2135937	MGI	MGI:2135937	Sbk1	SH3-binding kinase 1	protein coding gene
MGI:1931787	MGI	MGI:1931787	Scyl1	SCY1-like 1 (S. cerevisiae)	protein coding gene
MGI:1289172	MGI	MGI:1289172	Scyl2	SCY1-like 2 (S. cerevisiae)	protein coding gene
MGI:1921385	MGI	MGI:1921385	Scyl3	SCY1-like 3 (S. cerevisiae)	protein coding gene
MGI:1340062	MGI	MGI:1340062	Sgk1	serum/glucocorticoid regulated kinase 1	protein coding gene
MGI:1921903	MGI	MGI:1921903	Pomk	protein-O-mannose kinase	protein coding gene
MGI:1351318	MGI	MGI:1351318	Sgk2	serum/glucocorticoid regulated kinase 2	protein coding gene
MGI:1196223	MGI	MGI:1196223	Prag1	PEAK1 related kinase activating pseudokinase 1	protein coding gene
MGI:2442366	MGI	MGI:2442366	Peak1	pseudopodium-enriched atypical kinase 1	protein coding gene
MGI:2182368	MGI	MGI:2182368	Sgk3	serum/glucocorticoid regulated kinase 3	protein coding gene
MGI:1933227	MGI	MGI:1933227	Tex14	testis expressed gene 14	protein coding gene
MGI:1924735	MGI	MGI:1924735	Stk31	serine threonine kinase 31	protein coding gene
MGI:104832	MGI	MGI:2147077	Pkdcc	protein kinase domain containing, cytoplasmic	protein coding gene
MGI:1921428	MGI	MGI:1921428	Stk40	serine/threonine kinase 40	protein coding gene
MGI:1925064	MGI	MGI:1925064	Dstyk	dual serine/threonine and tyrosine protein kinase	protein coding gene
MGI:104754	MGI	MGI:104754	Sik1	salt inducible kinase 1	protein coding gene
MGI:2139434	MGI	MGI:2139434	Mylk2	myosin, light polypeptide kinase 2, skeletal muscle	protein coding gene
MGI:103241	MGI	MGI:103241	Slk	STE20-like kinase	protein coding gene
MGI:1289230	MGI	MGI:1289230	Pxk	PX domain containing serine/threonine kinase	protein coding gene
MGI:2444194	MGI	MGI:1919742	Smg1	SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)	protein coding gene
MGI:894806	MGI	MGI:894806	Mylk	myosin, light polypeptide kinase	protein coding gene
MGI:108104	MGI	MGI:108104	Snrk	SNF related kinase	protein coding gene
MGI:109282	MGI	MGI:109282	Speg	SPEG complex locus	protein coding gene
MGI:98397	MGI	MGI:98397	Src	Rous sarcoma oncogene	protein coding gene
MGI:101865	MGI	MGI:101865	Srms	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	protein coding gene
MGI:106908	MGI	MGI:106908	Srpk1	serine/arginine-rich protein specific kinase 1	protein coding gene
MGI:1201408	MGI	MGI:1201408	Srpk2	serine/arginine-rich protein specific kinase 2	protein coding gene
MGI:2148775	MGI	MGI:2148775	Tssk6	testis-specific serine kinase 6	protein coding gene
MGI:1858416	MGI	MGI:1858416	Stk39	serine/threonine kinase 39	protein coding gene
MGI:1919399	MGI	MGI:1919399	Strada	STE20-related kinase adaptor alpha	protein coding gene
MGI:91858	MGI	MGI:2144047	Stradb	STE20-related kinase adaptor beta	protein coding gene
MGI:2141396	MGI	MGI:2141396	Styk1	serine/threonine/tyrosine kinase 1	protein coding gene
MGI:99515	MGI	MGI:99515	Syk	spleen tyrosine kinase	protein coding gene
MGI:2147953	MGI	MGI:1336878	Taf1	TATA-box binding protein associated factor 1	protein coding gene
MGI:1346877	MGI	MGI:1346877	Map3k7	mitogen-activated protein kinase kinase kinase 7	protein coding gene
MGI:2445052	MGI	MGI:2445052	Tbck	TBC1 domain containing kinase	protein coding gene
MGI:1929658	MGI	MGI:1929658	Tbk1	TANK-binding kinase 1	protein coding gene
MGI:98662	MGI	MGI:98662	Tec	tec protein tyrosine kinase	protein coding gene
MGI:1201675	MGI	MGI:1201675	Tesk1	testis specific protein kinase 1	protein coding gene
MGI:98728	MGI	MGI:98728	Tgfbr1	transforming growth factor, beta receptor I	protein coding gene
MGI:98729	MGI	MGI:98729	Tgfbr2	transforming growth factor, beta receptor II	protein coding gene
MGI:99906	MGI	MGI:99906	Tie1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	protein coding gene
MGI:98664	MGI	MGI:98664	Tek	TEK receptor tyrosine kinase	protein coding gene
MGI:109275	MGI	MGI:109275	Trim24	tripartite motif-containing 24	protein coding gene
MGI:109274	MGI	MGI:109274	Trim28	tripartite motif-containing 28	protein coding gene
MGI:2137357	MGI	MGI:2137357	Trim33	tripartite motif-containing 33	protein coding gene
MGI:2441683	MGI	MGI:2441683	Tlk1	tousled-like kinase 1	protein coding gene
MGI:1346023	MGI	MGI:1346023	Tlk2	tousled-like kinase 2 (Arabidopsis)	protein coding gene
MGI:1930958	MGI	MGI:1930958	Tnk1	tyrosine kinase, non-receptor, 1	protein coding gene
MGI:1919628	MGI	MGI:2685385	Kalrn	kalirin, RhoGEF kinase	protein coding gene
MGI:2443397	MGI	MGI:2443397	Trib1	tribbles pseudokinase 1	protein coding gene
MGI:2145021	MGI	MGI:2145021	Trib2	tribbles pseudokinase 2	protein coding gene
MGI:1345675	MGI	MGI:1345675	Trib3	tribbles pseudokinase 3	protein coding gene
MGI:2145897	MGI	MGI:1927230	Trio	triple functional domain (PTPRF interacting)	protein coding gene
MGI:97383	MGI	MGI:97383	Ntrk1	neurotrophic tyrosine kinase, receptor, type 1	protein coding gene
MGI:97384	MGI	MGI:97384	Ntrk2	neurotrophic tyrosine kinase, receptor, type 2	protein coding gene
MGI:97385	MGI	MGI:97385	Ntrk3	neurotrophic tyrosine kinase, receptor, type 3	protein coding gene
MGI:2140918	MGI	MGI:2153272	Trrap	transformation/transcription domain-associated protein	protein coding gene
MGI:1347557	MGI	MGI:1347557	Tssk1	testis-specific serine kinase 1	protein coding gene
MGI:1347559	MGI	MGI:1347559	Tssk2	testis-specific serine kinase 2	protein coding gene
MGI:1929914	MGI	MGI:1929914	Tssk3	testis-specific serine kinase 3	protein coding gene
MGI:1918349	MGI	MGI:1918349	Tssk4	testis-specific serine kinase 4	protein coding gene
MGI:1920792	MGI	MGI:1920792	Tssk5	testis-specific serine kinase 5	protein coding gene
MGI:2443971	MGI	MGI:2155779	Ttbk2	tau tubulin kinase 2	protein coding gene
MGI:1194921	MGI	MGI:1194921	Ttk	Ttk protein kinase	protein coding gene
MGI:98864	MGI	MGI:98864	Ttn	titin	protein coding gene
MGI:102960	MGI	MGI:102960	Txk	TXK tyrosine kinase	protein coding gene
MGI:1929470	MGI	MGI:1929470	Tyk2	tyrosine kinase 2	protein coding gene
MGI:104294	MGI	MGI:104294	Tyro3	TYRO3 protein tyrosine kinase 3	protein coding gene
MGI:1270126	MGI	MGI:1270126	Ulk1	unc-51 like kinase 1	protein coding gene
MGI:1352758	MGI	MGI:1352758	Ulk2	unc-51 like kinase 2	protein coding gene
MGI:1918992	MGI	MGI:1918992	Ulk3	unc-51-like kinase 3	protein coding gene
MGI:1921622	MGI	MGI:1921622	Ulk4	unc-51-like kinase 4	protein coding gene
MGI:2384296	MGI	MGI:2384296	Camkv	CaM kinase-like vesicle-associated	protein coding gene
MGI:1261847	MGI	MGI:1261847	Vrk1	vaccinia related kinase 1	protein coding gene
MGI:1917172	MGI	MGI:1917172	Vrk2	vaccinia related kinase 2	protein coding gene
MGI:2141945	MGI	MGI:2182465	Vrk3	vaccinia related kinase 3	protein coding gene
MGI:103075	MGI	MGI:103075	Wee1	WEE 1 homolog 1 (S. pombe)	protein coding gene
MGI:2442092	MGI	MGI:2442092	Wnk1	WNK lysine deficient protein kinase 1	protein coding gene
MGI:1917097	MGI	MGI:1917097	Wnk4	WNK lysine deficient protein kinase 4	protein coding gene
MGI:2442403	MGI	MGI:2442403	Stk32a	serine/threonine kinase 32A	protein coding gene
MGI:1927552	MGI	MGI:1927552	Stk32b	serine/threonine kinase 32B	protein coding gene
MGI:99147	MGI	MGI:99147	Yes1	YES proto-oncogene 1, Src family tyrosine kinase	protein coding gene
MGI:1891699	MGI	MGI:1891699	Stk25	serine/threonine kinase 25 (yeast)	protein coding gene
MGI:1931274	MGI	MGI:2443258	Map3k20	mitogen-activated protein kinase kinase kinase 20	protein coding gene
MGI:99613	MGI	MGI:99613	Zap70	zeta-chain (TCR) associated protein kinase	protein coding gene
MGI:1349394	MGI	MGI:1349394	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4	protein coding gene
MGI:2444917	MGI	MGI:1916264	Tnik	TRAF2 and NCK interacting kinase	protein coding gene
MGI:1355329	MGI	MGI:1355329	Mink1	misshapen-like kinase 1 (zebrafish)	protein coding gene
MGI:1351326	MGI	MGI:1351326	Nrk	Nik related kinase	protein coding gene
