"kinase_name","HGNC.ID"
"MAST4","HGNC:19037"
"SgK494",""
"SMG1","HGNC:30045"
"NIM1","HGNC:28646"
"QSK","HGNC:29165"
"caMLCK","HGNC:29826"
"SgK085","HGNC:27972"
"SPEG","HGNC:16901"
"SgK069","HGNC:34416"
"SgK110","HGNC:44121"
"SgK269","HGNC:29431"
"SgK223","HGNC:25438"
"SgK424",""
"SgK196","HGNC:26267"
"SgK493","HGNC:25123"
"TBCK","HGNC:28261"
"Wee1B","HGNC:19684"
"STLK5","HGNC:30172"
"MST4","HGNC:18174"
"MLK4","HGNC:29798"
"ZAK","HGNC:17797"
